tourney_id,tourney_name,tourney_level,tourney_date,winner_id,winner_name,round
2002-540,Wimbledon,G,20020624,103720,Lleyton Hewitt,F
2002-560,US Open,G,20020826,101948,Pete Sampras,F
2002-580,Australian Open,G,20020114,102563,Thomas Johansson,F
2003-520,Roland Garros,G,20030526,103507,Juan Carlos Ferrero,F
2003-540,Wimbledon,G,20030623,103819,Roger Federer,F
2003-560,US Open,G,20030825,104053,Andy Roddick,F
2003-580,Australian Open,G,20030113,101736,Andre Agassi,F
2004-520,Roland Garros,G,20040524,103292,Gaston Gaudio,F
2004-540,Wimbledon,G,20040621,103819,Roger Federer,F
2004-560,US Open,G,20040830,103819,Roger Federer,F
2004-580,Australian Open,G,20040119,103819,Roger Federer,F
2005-520,Roland Garros,G,20050523,104745,Rafael Nadal,F
2005-540,Wimbledon,G,20050620,103819,Roger Federer,F
2005-560,US Open,G,20050829,103819,Roger Federer,F
2005-580,Australian Open,G,20050117,103498,Marat Safin,F
2006-520,Roland Garros,G,20060529,104745,Rafael Nadal,F
2006-540,Wimbledon,G,20060626,103819,Roger Federer,F
2006-560,US Open,G,20060828,103819,Roger Federer,F
2006-580,Australian Open,G,20060116,103819,Roger Federer,F
2007-520,Roland Garros,G,20070528,104745,Rafael Nadal,F
2007-540,Wimbledon,G,20070625,103819,Roger Federer,F
2007-560,US Open,G,20070827,103819,Roger Federer,F
2007-580,Australian Open,G,20070115,103819,Roger Federer,F
2008-520,Roland Garros,G,20080525,104745,Rafael Nadal,F
2008-540,Wimbledon,G,20080623,104745,Rafael Nadal,F
2008-560,US Open,G,20080825,103819,Roger Federer,F
2008-580,Australian Open,G,20080114,104925,Novak Djokovic,F
2009-520,Roland Garros,G,20090525,103819,Roger Federer,F
2009-540,Wimbledon,G,20090622,103819,Roger Federer,F
2009-560,US Open,G,20090831,105223,Juan Martin del Potro,F
2009-580,Australian Open,G,20090119,104745,Rafael Nadal,F
2010-580,Australian Open,G,20100118,103819,Roger Federer,F
2010-520,Roland Garros,G,20100524,104745,Rafael Nadal,F
2010-540,Wimbledon,G,20100621,104745,Rafael Nadal,F
2010-560,US Open,G,20100830,104745,Rafael Nadal,F
2011-580,Australian Open,G,20110117,104925,Novak Djokovic,F
2011-520,Roland Garros,G,20110522,104745,Rafael Nadal,F
2011-540,Wimbledon,G,20110620,104925,Novak Djokovic,F
2011-560,US Open,G,20110829,104925,Novak Djokovic,F
2012-580,Australian Open,G,20120116,104925,Novak Djokovic,F
2012-520,Roland Garros,G,20120527,104745,Rafael Nadal,F
2012-540,Wimbledon,G,20120625,103819,Roger Federer,F
2012-560,US Open,G,20120827,104918,Andy Murray,F
2013-580,Australian Open,G,20130114,104925,Novak Djokovic,F
2013-520,Roland Garros,G,20130527,104745,Rafael Nadal,F
2013-540,Wimbledon,G,20130624,104918,Andy Murray,F
2013-560,US Open,G,20130826,104745,Rafael Nadal,F
2014-580,Australian Open,G,20140113,104527,Stan Wawrinka,F
2014-520,Roland Garros,G,20140526,104745,Rafael Nadal,F
2014-540,Wimbledon,G,20140623,104925,Novak Djokovic,F
2014-560,US Open,G,20140825,105227,Marin Cilic,F
2015-580,Australian Open,G,20150119,104925,Novak Djokovic,F
2015-520,Roland Garros,G,20150524,104527,Stan Wawrinka,F
2015-540,Wimbledon,G,20150629,104925,Novak Djokovic,F
2015-560,US Open,G,20150831,104925,Novak Djokovic,F
2016-580,Australian Open,G,20160118,104925,Novak Djokovic,F
2016-520,Roland Garros,G,20160523,104925,Novak Djokovic,F
2016-540,Wimbledon,G,20160627,104918,Andy Murray,F
2016-560,US Open,G,20160829,104527,Stan Wawrinka,F
2017-580,Australian Open,G,20170116,103819,Roger Federer,F
2017-520,Roland Garros,G,20170529,104745,Rafael Nadal,F
2017-540,Wimbledon,G,20170703,103819,Roger Federer,F
2017-560,US Open,G,20170828,104745,Rafael Nadal,F
2018-580,Australian Open,G,20180115,103819,Roger Federer,F
2018-520,Roland Garros,G,20180528,104745,Rafael Nadal,F
2018-540,Wimbledon,G,20180702,104925,Novak Djokovic,F
2018-560,US Open,G,20180827,104925,Novak Djokovic,F
2019-580,Australian Open,G,20190114,104925,Novak Djokovic,F
2019-520,Roland Garros,G,20190527,104745,Rafael Nadal,F
2019-540,Wimbledon,G,20190701,104925,Novak Djokovic,F
2019-560,US Open,G,20190826,104745,Rafael Nadal,F
2020-580,Australian Open,G,20200120,104925,Novak Djokovic,F
2020-560,US Open,G,20200831,106233,Dominic Thiem,F
2020-520,Roland Garros,G,20200928,104745,Rafael Nadal,F
2021-580,Australian Open,G,20210208,104925,Novak Djokovic,F
