tourney_id,tourney_name,tourney_level,tourney_date,winner_id,winner_name,round
2007-W-SL-FRA-01A-2007,Roland Garros,G,20070528,200003,Justine Henin,F
2007-W-SL-GBR-01A-2007,Wimbledon,G,20070625,200748,Venus Williams,F
2007-W-SL-USA-01A-2007,US Open,G,20070827,200003,Justine Henin,F
2008-W-SL-AUS-01A-2008,Australian Open,G,20080114,201345,Maria Sharapova,F
2008-W-SL-FRA-01A-2008,Roland Garros,G,20080526,201421,Ana Ivanovic,F
2008-W-SL-GBR-01A-2008,Wimbledon,G,20080623,200748,Venus Williams,F
2008-W-SL-USA-01A-2008,US Open,G,20080825,200033,Serena Williams,F
2009-W-SL-AUS-01A-2009,Australian Open,G,20090119,200033,Serena Williams,F
2009-W-SL-FRA-01A-2009,Roland Garros,G,20090525,201320,Svetlana Kuznetsova,F
2009-W-SL-GBR-01A-2009,Wimbledon,G,20090622,200033,Serena Williams,F
2009-W-SL-USA-01A-2009,US Open,G,20090831,200079,Kim Clijsters,F
2010-W-SL-AUS-01A-2010,Australian Open,G,20100118,200033,Serena Williams,F
2010-W-SL-FRA-01A-2010,Roland Garros,G,20100524,201212,Francesca Schiavone,F
2010-W-SL-GBR-01A-2010,Wimbledon,G,20100621,200033,Serena Williams,F
2010-W-SL-USA-01A-2010,US Open,G,20100830,200079,Kim Clijsters,F
2011-W-SL-AUS-01A-2011,Australian Open,G,20110117,200079,Kim Clijsters,F
2011-W-SL-FRA-01A-2011,Roland Garros,G,20110523,201419,Na Li,F
2011-W-SL-GBR-01A-2011,Wimbledon,G,20110620,201520,Petra Kvitova,F
2011-W-SL-USA-01A-2011,US Open,G,20110829,201325,Samantha Stosur,F
2012-W-SL-AUS-01A-2012,Australian Open,G,20120116,201458,Victoria Azarenka,F
2012-W-SL-FRA-01A-2012,Roland Garros,G,20120528,201345,Maria Sharapova,F
2012-W-SL-GBR-01A-2012,Wimbledon,G,20120625,200033,Serena Williams,F
2012-W-SL-USA-01A-2012,US Open,G,20120827,200033,Serena Williams,F
2013-W-SL-AUS-01A-2013,Australian Open,G,20130114,201458,Victoria Azarenka,F
2013-W-SL-FRA-01A-2013,Roland Garros,G,20130527,200033,Serena Williams,F
2013-W-SL-GBR-01A-2013,Wimbledon,G,20130624,201294,Marion Bartoli,F
2013-W-SL-USA-01A-2013,US Open,G,20130826,200033,Serena Williams,F
2014-W-SL-AUS-01A-2014,Australian Open,G,20140113,201419,Na Li,F
2014-W-SL-FRA-01A-2014,Roland Garros,G,20140526,201345,Maria Sharapova,F
2014-W-SL-GBR-01A-2014,Wimbledon,G,20140623,201520,Petra Kvitova,F
2014-W-SL-USA-01A-2014,US Open,G,20140825,200033,Serena Williams,F
2015-W-SL-AUS-01A-2015,Australian Open,G,20150119,200033,Serena Williams,F
2015-W-SL-FRA-01A-2015,Roland Garros,G,20150525,200033,Serena Williams,F
2015-W-SL-GBR-01A-2015,Wimbledon,G,20150629,200033,Serena Williams,F
2015-W-SL-USA-01A-2015,US Open,G,20150831,201355,Flavia Pennetta,F
2016-520,Roland Garros,G,20160523,202469,Garbine Muguruza,F
2016-540,Wimbledon,G,20160627,200033,Serena Williams,F
2016-560,US Open,G,20160829,201493,Angelique Kerber,F
2016-580,Australian Open,G,20160118,201493,Angelique Kerber,F
2017-520,Roland Garros,G,20170529,211533,Jelena Ostapenko,F
2017-540,Wimbledon,G,20170703,202469,Garbine Muguruza,F
2017-560,US Open,G,20170828,201585,Sloane Stephens,F
2017-580,Australian Open,G,20170116,200033,Serena Williams,F
2018-520,Roland Garros,G,20180528,201594,Simona Halep,F
2018-540,Wimbledon,G,20180702,201493,Angelique Kerber,F
2018-560,US Open,G,20180827,211768,Naomi Osaka,F
2018-580,Australian Open,G,20180115,201496,Caroline Wozniacki,F
2019-520,Roland Garros,G,20190527,202458,Ashleigh Barty,F
2019-540,Wimbledon,G,20190701,201594,Simona Halep,F
2019-560,US Open,G,20190826,215370,Bianca Andreescu,F
2019-580,Australian Open,G,20190114,211768,Naomi Osaka,F
2020-580,Australian Open,G,20200120,213550,Sofia Kenin,F
2020-560,US Open,G,20200831,211768,Naomi Osaka,F
2020-520,Roland Garros,G,20200928,216347,Iga Swiatek,F
2021-580,Australian Open,G,20210208,211768,Naomi Osaka,F
